Tahun,Provinsi,Jumlah Penduduk,Jumlah Kasus,Incidence Rate (per 100k),Jumlah Meninggal,CFR (%)
2017,Aceh,5189466.0,2591,49.93,12.0,0.46
2017,Bali,4246528.0,4499,105.95,13.0,1.16
2017,Banten,12448160.0,1360,10.93,11.0,1.34
2017,Bengkulu,1934269.0,618,31.95,5.0,0.48
2017,DI Yogyakarta,3762167.0,1642,43.65,7.0,1.24
2017,DKI Jakarta,10374235.0,3350,32.29,1.0,0.81
2017,Gorontalo,1168190.0,504,43.14,11.0,0.48
2017,Jambi,3515017.0,525,14.94,3.0,1.2
2017,Jawa Barat,48037827.0,10016,20.85,54.0,0.03
2017,Jawa Tengah,34257865.0,7400,21.6,92.0,0.54
2017,Jawa Timur,39292972.0,7838,19.95,105.0,0.43
2017,Kalimantan Barat,4932499.0,2595,52.61,30.0,0.36
2017,Kalimantan Selatan,4119794.0,544,13.2,2.0,2.18
2017,Kalimantan Tengah,2605274.0,879,33.74,12.0,1.55
2017,Kalimantan Timur,3575449.0,2237,62.57,8.0,0.72
2017,Kalimantan Utara,691058.0,261,37.77,2.0,0.0
2017,Kepulauan Bangka Belitung,1430865.0,263,18.38,0.0,0.81
2017,Kepulauan Riau,2082694.0,832,39.95,10.0,0.31
2017,Lampung,8289577.0,2908,35.08,9.0,0.0
2017,Maluku,1744654.0,91,5.22,0.0,0.0
2017,Maluku Utara,1209342.0,37,3.06,0.0,1.23
2017,Nusa Tenggara Barat,4955578.0,1527,30.81,4.0,1.37
2017,Nusa Tenggara Timur,5287302.0,210,3.97,1.0,0.37
2017,Papua,3265202.0,269,8.24,3.0,0.77
2017,Papua Barat,915361.0,163,17.81,2.0,1.12
2017,Riau,6657911.0,1928,28.96,15.0,0.78
2017,Sulawesi Barat,1330961.0,107,8.04,0.0,0.0
2017,Sulawesi Selatan,8690294.0,1735,19.96,11.0,0.29
2017,Sulawesi Tengah,2966325.0,834,28.12,6.0,1.47
2017,Sulawesi Tenggara,2602389.0,817,31.39,12.0,0.26
2017,Sulawesi Utara,2461028.0,581,23.61,9.0,0.63
2017,Sumatera Barat,5321489.0,2470,46.42,7.0,0.28
2017,Sumatera Selatan,8266983.0,1449,17.53,7.0,0.57
2017,Sumatera Utara,14262147.0,5327,37.35,29.0,0.54
2018,Aceh,5281314.0,1533,29.03,6.0,0.39
2018,Bali,4292154.0,904,21.06,2.0,0.22
2018,Banten,12689736.0,1023,8.06,7.0,0.68
2018,Bengkulu,1963300.0,1419,72.28,12.0,0.85
2018,DI Yogyakarta,3802872.0,547,14.38,3.0,0.55
2018,DKI Jakarta,10467629.0,2965,28.33,2.0,0.07
2018,Gorontalo,1185492.0,813,68.58,14.0,1.72
2018,Jambi,3570272.0,720,20.17,1.0,0.14
2018,Jawa Barat,48683861.0,8732,17.94,49.0,0.56
2018,Jawa Tengah,34490835.0,3133,9.08,29.0,0.93
2018,Jawa Timur,39500851.0,8449,21.39,84.0,0.99
2018,Kalimantan Barat,5001664.0,3097,61.92,25.0,0.81
2018,Kalimantan Selatan,4182695.0,2001,47.84,15.0,0.75
2018,Kalimantan Tengah,2660209.0,2245,84.39,22.0,0.98
2018,Kalimantan Timur,3648835.0,3204,87.81,17.0,0.53
2018,Kalimantan Utara,716407.0,172,24.01,3.0,1.74
2018,Kepulauan Bangka Belitung,1459873.0,760,52.06,2.0,0.26
2018,Kepulauan Riau,2136521.0,1204,56.35,7.0,0.58
2018,Lampung,8370485.0,2872,34.31,14.0,0.49
2018,Maluku,1773776.0,317,17.87,10.0,3.15
2018,Maluku Utara,1232632.0,110,8.92,4.0,3.64
2018,Nusa Tenggara Barat,5013687.0,535,10.67,1.0,0.19
2018,Nusa Tenggara Timur,5371519.0,1333,24.82,12.0,0.9
2018,Papua,3322526.0,193,5.81,2.0,1.04
2018,Papua Barat,937458.0,228,24.32,3.0,1.32
2018,Riau,6814909.0,918,13.47,8.0,0.87
2018,Sulawesi Barat,1355554.0,532,39.25,6.0,1.13
2018,Sulawesi Selatan,8771970.0,2114,24.1,19.0,0.9
2018,Sulawesi Tengah,3010443.0,1067,35.44,6.0,0.56
2018,Sulawesi Tenggara,2653654.0,624,23.51,4.0,0.64
2018,Sulawesi Utara,2484392.0,1608,64.72,21.0,1.31
2018,Sumatera Barat,5382077.0,2203,40.93,5.0,0.23
2018,Sumatera Selatan,8370320.0,2404,28.72,26.0,1.08
2018,Sumatera Utara,14415391.0,5623,39.01,26.0,0.46
2019,Aceh,5371532.0,2386,44.42,6.0,0.25
2019,Bali,4336923.0,4979,114.8,5.0,0.1
2019,Banten,12927316.0,2915,22.55,14.0,0.48
2019,Bengkulu,1991838.0,1479,74.25,13.0,0.88
2019,DI Yogyakarta,3842932.0,3301,85.9,6.0,0.18
2019,DKI Jakarta,10557810.0,8705,82.45,0.0,0.0
2019,Gorontalo,1202631.0,1221,101.53,23.0,1.88
2019,Jambi,3624579.0,2158,59.54,16.0,0.74
2019,Jawa Barat,49316712.0,23483,47.62,97.0,0.41
2019,Jawa Tengah,34718204.0,9124,26.28,123.0,1.35
2019,Jawa Timur,39698631.0,18397,46.34,186.0,1.01
2019,Kalimantan Barat,5069127.0,2798,55.2,21.0,0.75
2019,Kalimantan Selatan,4244096.0,2381,56.1,15.0,0.63
2019,Kalimantan Tengah,2714859.0,1616,59.52,24.0,1.49
2019,Kalimantan Timur,3721389.0,6723,180.66,44.0,0.65
2019,Kalimantan Utara,742245.0,1774,239.0,15.0,0.85
2019,Kepulauan Bangka Belitung,1488792.0,1012,67.97,10.0,0.99
2019,Kepulauan Riau,2189653.0,1865,85.17,11.0,0.59
2019,Lampung,8447737.0,5611,66.42,17.0,0.3
2019,Maluku,1802870.0,236,13.09,5.0,2.12
2019,Maluku Utara,1255771.0,1195,95.16,16.0,1.34
2019,Nusa Tenggara Barat,5070385.0,2971,58.6,16.0,0.54
2019,Nusa Tenggara Timur,5456203.0,4059,74.39,55.0,1.36
2019,Papua,3379302.0,597,17.67,6.0,1.01
2019,Papua Barat,959617.0,354,36.89,3.0,0.85
2019,Riau,6971745.0,4126,59.18,30.0,0.73
2019,Sulawesi Barat,1380256.0,796,57.67,8.0,1.01
2019,Sulawesi Selatan,8851240.0,3265,36.89,19.0,0.58
2019,Sulawesi Tengah,3054023.0,1947,63.75,17.0,0.87
2019,Sulawesi Tenggara,2704737.0,1479,54.68,8.0,0.54
2019,Sulawesi Utara,2506981.0,2381,94.97,27.0,1.13
2019,Sumatera Barat,5441197.0,2263,41.59,9.0,0.4
2019,Sumatera Selatan,8470683.0,2799,33.04,16.0,0.57
2019,Sumatera Utara,14562549.0,7731,53.09,38.0,0.49
2020,Aceh,5459891.0,891,16.32,1.0,0.11
2020,Bali,4380824.0,11964,273.1,23.0,0.19
2020,Banten,13160496.0,2910,22.1,25.0,0.86
2020,Bengkulu,2019848.0,1276,63.2,10.0,0.78
2020,DI Yogyakarta,3882288.0,3618,93.2,13.0,0.36
2020,DKI Jakarta,10644986.0,4745,44.6,1.0,0.02
2020,Gorontalo,1219576.0,951,78.0,7.0,0.74
2020,Jambi,3677894.0,2049,55.7,14.0,0.68
2020,Jawa Barat,49935858.0,22613,45.3,168.0,0.74
2020,Jawa Tengah,34940078.0,5683,16.3,107.0,1.88
2020,Jawa Timur,39886288.0,8567,21.5,73.0,0.85
2020,Kalimantan Barat,5134760.0,784,15.3,4.0,0.51
2020,Kalimantan Selatan,4303979.0,1768,41.1,20.0,1.13
2020,Kalimantan Tengah,2769156.0,669,24.2,5.0,0.75
2020,Kalimantan Timur,3793152.0,2299,60.6,18.0,0.78
2020,Kalimantan Utara,768505.0,515,67.0,8.0,1.55
2020,Kepulauan Bangka Belitung,1517590.0,1144,75.4,9.0,0.79
2020,Kepulauan Riau,2242198.0,1753,78.2,9.0,0.51
2020,Lampung,8521201.0,6372,74.8,26.0,0.41
2020,Maluku,1831880.0,77,4.2,5.0,6.49
2020,Maluku Utara,1278764.0,425,33.2,8.0,1.88
2020,Nusa Tenggara Barat,5125622.0,4720,92.1,13.0,0.28
2020,Nusa Tenggara Timur,5541394.0,5968,107.7,59.0,0.99
2020,Papua,3435430.0,172,5.0,1.0,0.58
2020,Papua Barat,981822.0,163,16.6,0.0,0.0
2020,Riau,7128305.0,2948,41.4,38.0,1.29
2020,Sulawesi Barat,1405012.0,630,44.8,3.0,0.48
2020,Sulawesi Selatan,8928004.0,2714,30.4,27.0,0.99
2020,Sulawesi Tengah,3096976.0,1190,38.4,12.0,1.01
2020,Sulawesi Tenggara,2755589.0,905,32.8,9.0,0.99
2020,Sulawesi Utara,2528794.0,1219,48.2,18.0,1.48
2020,Sumatera Barat,5498751.0,1117,20.3,3.0,0.27
2020,Sumatera Selatan,8567923.0,2359,27.5,3.0,0.13
2020,Sumatera Utara,14703532.0,3125,21.3,7.0,0.22
2021,Aceh,5459114.0,366,6.7,7.0,1.91
2021,Bali,4466595.0,2673,59.8,4.0,0.15
2021,Banten,13074189.0,2136,16.3,16.0,0.75
2021,Bengkulu,2016437.0,628,31.1,1.0,0.16
2021,DI Yogyakarta,3970220.0,1186,29.9,12.0,1.01
2021,DKI Jakarta,10645542.0,3092,29.0,0.0,0.0
2021,Gorontalo,1195883.0,557,46.6,15.0,2.69
2021,Jambi,3641279.0,357,9.8,5.0,1.4
2021,Jawa Barat,50103251.0,23959,47.8,212.0,0.88
2021,Jawa Tengah,34917040.0,4468,12.8,121.0,2.71
2021,Jawa Timur,40156672.0,6760,16.8,72.0,1.07
2021,Kalimantan Barat,5162937.0,664,12.9,4.0,0.6
2021,Kalimantan Selatan,4319794.0,176,4.1,0.0,0.0
2021,Kalimantan Tengah,2722168.0,189,6.9,0.0,0.0
2021,Kalimantan Timur,3708936.0,2898,78.1,23.0,0.79
2021,Kalimantan Utara,721181.0,172,23.8,4.0,2.33
2021,Kepulauan Bangka Belitung,1488245.0,864,58.1,20.0,2.31
2021,Kepulauan Riau,2378795.0,1925,80.9,17.0,0.88
2021,Lampung,8609884.0,2271,26.4,8.0,0.35
2021,Maluku,1805376.0,169,9.4,3.0,1.78
2021,Maluku Utara,1268866.0,318,25.1,7.0,2.2
2021,Nusa Tenggara Barat,5298471.0,2697,50.9,21.0,0.78
2021,Nusa Tenggara Timur,5588744.0,2538,45.4,14.0,0.55
2021,Papua,3438243.0,98,2.9,0.0,0.0
2021,Papua Barat,1008698.0,147,14.6,0.0,0.0
2021,Riau,7066464.0,1038,14.7,10.0,0.96
2021,Sulawesi Barat,1396749.0,339,24.3,6.0,1.77
2021,Sulawesi Selatan,8956181.0,3585,40.0,35.0,0.98
2021,Sulawesi Tengah,3120863.0,671,21.5,5.0,0.75
2021,Sulawesi Tenggara,2743155.0,674,24.6,8.0,1.19
2021,Sulawesi Utara,2530967.0,1196,47.3,32.0,2.68
2021,Sumatera Barat,5610859.0,654,11.7,6.0,0.92
2021,Sumatera Selatan,8702628.0,1135,13.0,3.0,0.26
2021,Sumatera Utara,14954028.0,2918,19.5,14.0,0.48
2022,Aceh,5529773.0,2079,37.6,16.0,0.77
2022,Bali,4518680.0,5761,127.49,16.0,0.28
2022,Banten,13251533.0,5283,39.87,33.0,0.62
2022,Bengkulu,2038146.0,1339,65.7,14.0,1.05
2022,DI Yogyakarta,4021816.0,2164,53.81,18.0,0.83
2022,DKI Jakarta,10711809.0,8138,75.97,0.0,0.0
2022,Gorontalo,1205341.0,580,48.12,11.0,1.9
2022,Jambi,3677678.0,1378,37.47,9.0,0.65
2022,Jawa Barat,50639156.0,36608,72.29,305.0,0.83
2022,Jawa Tengah,35090378.0,12476,35.55,260.0,2.08
2022,Jawa Timur,40348441.0,13235,32.8,154.0,1.16
2022,Kalimantan Barat,5220211.0,1384,26.51,15.0,1.08
2022,Kalimantan Selatan,4370444.0,1014,23.2,8.0,0.79
2022,Kalimantan Tengah,2757697.0,890,32.27,8.0,0.9
2022,Kalimantan Timur,3752605.0,5887,156.88,39.0,0.66
2022,Kalimantan Utara,734112.0,1331,181.31,15.0,1.13
2022,Kepulauan Bangka Belitung,1506505.0,1887,125.26,30.0,1.59
2022,Kepulauan Riau,2449422.0,2235,91.25,13.0,0.58
2022,Lampung,8683167.0,4662,53.69,15.0,0.32
2022,Maluku,1823518.0,96,5.26,0.0,0.0
2022,Maluku Utara,1285374.0,623,48.47,8.0,1.28
2022,Nusa Tenggara Barat,5370302.0,3260,60.7,8.0,0.25
2022,Nusa Tenggara Timur,5662948.0,3096,54.67,25.0,0.81
2022,Papua,3482891.0,533,15.3,5.0,0.94
2022,Papua Barat,1031676.0,293,28.4,2.0,0.68
2022,Riau,7181300.0,2370,33.0,18.0,0.76
2022,Sulawesi Barat,1415130.0,676,47.77,4.0,0.59
2022,Sulawesi Selatan,9022276.0,3562,39.48,25.0,0.7
2022,Sulawesi Tengah,3159749.0,1883,59.59,15.0,0.8
2022,Sulawesi Tenggara,2782882.0,918,32.99,17.0,1.85
2022,Sulawesi Utara,2548338.0,2206,86.57,25.0,1.13
2022,Sumatera Barat,5675357.0,4024,70.9,15.0,0.37
2022,Sumatera Selatan,8803213.0,2854,32.42,31.0,1.09
2022,Sumatera Utara,15107226.0,8541,56.54,60.0,0.7
2023,Aceh,5599952.0,2176,38.86,27.0,1.24
2023,Bali,4570684.0,7099,155.32,19.0,0.27
2023,Banten,13427073.0,4154,30.94,18.0,0.43
2023,Bengkulu,2059421.0,926,44.96,17.0,1.84
2023,DI Yogyakarta,4073907.0,700,17.18,3.0,0.43
2023,DKI Jakarta,10775080.0,3908,36.27,0.0,0.0
2023,Gorontalo,1214587.0,683,56.23,7.0,1.02
2023,Jambi,3713311.0,1413,30.05,14.0,0.99
2023,Jawa Barat,51172130.0,19328,37.77,134.0,0.69
2023,Jawa Tengah,35258144.0,6659,18.89,143.0,2.15
2023,Jawa Timur,40530954.0,9401,23.19,103.0,1.1
2023,Kalimantan Barat,5276672.0,9003,170.62,99.0,1.1
2023,Kalimantan Selatan,4420513.0,3072,69.49,19.0,0.62
2023,Kalimantan Tengah,2792790.0,4834,173.09,30.0,0.62
2023,Kalimantan Timur,3795636.0,5592,147.33,25.0,0.45
2023,Kalimantan Utara,747125.0,905,131.84,8.0,0.88
2023,Kepulauan Bangka Belitung,1524567.0,1331,87.3,18.0,1.35
2023,Kepulauan Riau,2521306.0,730,28.95,5.0,0.68
2023,Lampung,8754570.0,2181,24.91,8.0,0.37
2023,Maluku,1841492.0,262,14.23,3.0,1.15
2023,Maluku Utara,1301836.0,801,61.53,4.0,0.5
2023,Nusa Tenggara Barat,5441327.0,3458,63.55,25.0,0.72
2023,Nusa Tenggara Timur,5735959.0,2653,46.25,15.0,0.57
2023,Papua,3416682.0,1814,53.1,7.0,0.39
2023,Papua Barat,491895.0,917,186.42,6.0,0.65
2023,Papua Barat Daya,,0,,,
2023,Papua Pegunungan,,0,,,
2023,Papua Selatan,,0,,,
2023,Papua Tengah,,677,,,
2023,Riau,7295829.0,2153,29.51,22.0,1.02
2023,Sulawesi Barat,1433233.0,1192,83.17,4.0,0.34
2023,Sulawesi Selatan,9086997.0,2701,29.72,8.0,0.3
2023,Sulawesi Tengah,3198320.0,1804,56.4,9.0,0.5
2023,Sulawesi Tenggara,2822613.0,1574,55.76,14.0,0.89
2023,Sulawesi Utara,2565018.0,2643,103.04,30.0,1.14
2023,Sumatera Barat,5739147.0,1929,33.61,13.0,0.67
2023,Sumatera Selatan,8902406.0,2983,33.51,21.0,0.7
2023,Sumatera Utara,15257842.0,4578,30.0,22.0,0.48
2024,Aceh,5669606.0,3450,60.85,21.0,0.6
2024,Bali,4622547.0,15570,336.83,25.0,0.2
2024,Banten,13600575.0,13727,100.93,48.0,0.3
2024,Bengkulu,2080246.0,3103,149.17,16.0,0.5
2024,DI Yogyakarta,4126444.0,4027,97.59,10.0,0.2
2024,DKI Jakarta,10835148.0,13276,122.53,30.0,0.2
2024,Gorontalo,1223639.0,2491,189.52,23.0,1.0
2024,Jambi,3748137.0,2321,61.92,3.0,0.1
2024,Jawa Barat,51701460.0,61423,118.8,339.0,0.6
2024,Jawa Tengah,35420092.0,17636,49.79,257.0,1.5
2024,Jawa Timur,40703833.0,32086,78.83,264.0,0.8
2024,Kalimantan Barat,5332218.0,2529,47.43,23.0,0.9
2024,Kalimantan Selatan,4469992.0,3232,72.3,16.0,0.5
2024,Kalimantan Tengah,2827450.0,4015,142.0,22.0,0.5
2024,Kalimantan Timur,3837948.0,10902,284.06,20.0,0.2
2024,Kalimantan Utara,760222.0,644,84.71,7.0,1.1
2024,Kepulauan Bangka Belitung,1542390.0,1914,124.09,23.0,1.2
